"","name","thumbnail","url","ghuser","ghrepo","tags","cran","ghauthor","short","description"
"85","ggcharts","images/ggcharts.png","https://thomas-neitmann.github.io/ggcharts/index.html","thomas-neitmann","ggcharts","visualization,general","true","thomas-neitmann","Shorten the distance from data visualization idea to actual plot","ggcharts provides a high-level ggplot2 interface for creating common charts. Its aim is both simple and ambitious:shorten the distance from data visualization idea to actual plot. How so? By taking care of a lot of data preprocessing,obscure ggplot2 details and plot styling for you. The resulting plots are ggplot objects and can be further customizedusing any ggplot2 function."
"86","humapr","images/humapr.png","https://github.com/benskov/humapr","benskov","humapr","visualization,general,tabulation,choropleth","false","benskov","Visualise topographic human data with choropleths","Several domains deal with topographic human data, both exterior on the body surface (e.g., injury research) andinterior (e.g., forensic pathology). This package seeks to offer a straightforward API for visualising such data.For now, the package offers two maps"
"87","ggshadow","images/ggshadow.png","https://github.com/marcmenem/ggshadow","marcmenem","ggshadow","visualization,general","true","marcmenem","Draw a shadow below lines to make busy plots more aesthetically pleasing","A collection of geoms for R's 'ggplot2' library. geom_shadowpath(), geom_shadowline(),geom_shadowstep() and geom_shadowpoint() functions draw a shadow below lines to makebusy plots more aesthetically pleasing. geom_glowpath(), geom_glowline(), geom_glowstep()and geom_glowpoint() add a neon glow around lines to get a steampunk style. "
"88","ggseg","images/ggseg-ext.png","https://github.com/LCBC-UiO/ggseg","LCBC-UiO","ggseg","visualization,brain imaging","true","Athanasiamo","Draw polygons of brain atlas segmentations","In neuroimaging, it is common to segment the brain intofinite smaller number of regions that share some property(function, neuroanatomy etc). `ggseg()` makes it possibleto visualize these segmentations using polygons."
"89","mdthemes","images/mdthemes.png","https://github.com/thomas-neitmann/mdthemes","thomas-neitmann","mdthemes","visualization,themes","false","thomas-neitmann","'ggplot2' themes that render text as markdown/HTML","`{mdthemes}` provides themes that render text as markdown/HTML. This enablesmaking individual words bold or italics as well as coloring them."
"90","ggwordcloud","images/ggwordcloud.png","https://lepennec.github.io/ggwordcloud/","lepennec","ggwordcloud","visualization,text","true","lepennec","A word cloud text geom for 'ggplot2'.","`ggwordcloud` provides a word cloud text geom for `ggplot2`.The placement algorithm implemented in C++ is an hybrid between the one of `wordcloud`and the one of `wordcloud2.js`. The cloud can grow according to a shape and stay within a mask.The size aesthetic is used either to control the font size or the printed area of the words.`ggwordcloud` also supports arbitrary text rotation. The faceting scheme of `ggplot2` can also be used.Two functions meant to be the equivalent of `wordcloud` and `wordcloud2` are proposed.Last but not least you can use `gridtext` markdown/html syntax in the labels."
"91","ggasym","images/ggasym.png","https://jhrcook.github.io/ggasym/index.html","jhrcook","ggasym","visualization,multi-dimensional,matrix,scales","false","jhrcook","Asymmetric matrix plotting with multiple scales.","‘ggasym’ plots a symmetric matrix with three different fill aesthetics for the top-left and bottom-right triangles and along the diagonal.It operates within the Grammar of Graphics paradigm implemented in ‘ggplot2’."
"92","gglorenz","images/gglorenz.png","https://github.com/jjchern/gglorenz","jjchern","gglorenz","visualization,general,statistics","true","jjchern","Plotting Lorenz curves with the blessing of ggplot2.","`gglorenz` provides statistical transformations for plotting empirical ordinary Lorenz curve (Lorenz 1905) <doi:10.2307/2276207> and generalized Lorenz curve (Shorrocks 1983) <doi:10.2307/2554117>."
"93","hrbrthemes","images/hrbrmstr-hrbrthemes.png","https://github.com/hrbrmstr/hrbrthemes","hrbrmstr","hrbrthemes","theme,typography","true","hrbrmstr","A compilation of extra {ggplot2} themes, scales and utilities, including a spell check function for plot label fields and an overall emphasis on typography.","`hrbrthemes` is a very focused package that provides typography-centric themes and theme components for ggplot2.The core theme"
"94","ggpattern","images/ggpattern.png","https://github.com/trevorld/ggpattern","trevorld","ggpattern","visualization,pattern","true","coolbutuseless","Pattern fills for ggplot2 geoms.","`ggpattern` provides geoms to use within ggplot which can be filled with patterns.Supported patterns include stripes, dots, checks, image files, gradients, etc."
"95","ggtext","images/ggtext.png","https://wilkelab.org/ggtext/","clauswilke","ggtext","general,theme,typography","true","Claus Wilke","Improved text rendering support for `ggplot2`","`ggtext` provides simple Markdown and HTML rendering for ggplot2."
"96","calendR","images/calendR.png","https://r-coder.com/calendar-plot-r/","R-CoderDotCom","calendR","visualization, calendar, time-series","true","R-CoderDotCom","Ready to Print Monthly and Yearly Calendars","Contains the function calendR() for creating fully customizable monthly and yearly calendars (colors, fonts, formats, ...) and even heatmap calendars.In addition, it allows saving the calendars in ready to print A4 format PDF files."
"97","ggip","images/ggip.png","https://davidchall.github.io/ggip/","davidchall","ggip","visualization, cyber, space-filling curves","true","davidchall","Data visualization of IP addresses and networks","`ggip` provides a coordinate system that maps IP data to the 2D grid, usinga space-filling curve (either the Hilbert or Morton curve). This data canthen be used with regular `ggplot2` layers or with custom `ggip` layers."
"98","gglm","images/gglm.png","https://graysonwhite.github.io/gglm/","graysonwhite","gglm","visualization,modeling,diagnostic","true","graysonwhite","Grammar of Graphics for linear model diagnostic plots.","`gglm`, The Grammar of Graphics for Linear Model Diagnostics, is a package thatcreates beautiful `ggplot2` diagnostic plots for linear models that are easy to useand adhere to The Grammar of Graphics. The purpose of this package is to provide asensible alternative to using the base-R `plot()` function to produce diagnostic plotsfor linear models."
"99","econocharts","images/econocharts.png","https://r-coder.com/economics-charts-r/","R-CoderDotCom","econocharts","economics, microeconomics, macroeconomics","false","R-CoderDotCom","Microeconomics and Macroeconomics Charts","Contains several functions for creating fully-customizable microeconomics or macroeconomics charts,such as supply and demand curves, indifference curves, production-possibility frontiers or Laffer curves."
"100","ComplexUpset","images/krassowski-complex-upset.png","https://github.com/krassowski/complex-upset","krassowski","complex-upset","visualization,venn,set,intersections,venn-diagram,upset","true","krassowski","Visualize set intersections and add `ggplot2` annotations","UpSet plots are an improvement over Venn Diagram for set overlap visualizations.Striving to bring the best of the 'UpSetR' and 'ggplot2', this package offers a way to createcomplex overlap visualisations, using simple and familiar tools, i.e. geoms of 'ggplot2'.For introduction to UpSet concept, see Lex et al. (2014)."
"101","ggchromatic","images/teunbrand-ggchromatic.png","https://teunbrand.github.io/ggchromatic/","teunbrand","ggchromatic","visualization,scales","false","teunbrand","Colourspace Scales for 'ggplot2'","The 'ggchromatic' package provides additional colour and fill scales to use with 'ggplot2'. Using the 'ggplot2' extension system, so called chromatic scales are introduced that map a mix of continuous and discrete variables to the channels of different colour spaces. "
"102","ggheatmap ","images/ggheatmap.png","https://github.com/XiaoLuo-boy/ggheatmap","XiaoLuo-boy","ggheatmap","visualization, heatmap","true","XiaoLuo-boy","ggplot2 version of heatmap","The flexibility and excellence of 'ggplot2' is unquestionable, so many drawing tools basically need 'ggplot2' as the operating object. In order to develop a heatmap drawing system based on ggplot2, we developed this tool, mainly to solve the heatmap puzzle problem and the flexible connection between the heatmap and the 'ggplot2' object. The advantages of this tool are as follows"
"103","see","images/see.png","https://github.com/easystats/see","easystats","see","visualizations,statistics","true","easystats","Visualisation Toolbox for 'easystats' and Extra Geoms, Themes and Color Palettes for 'ggplot2'","Provides plotting utilities supportingeasystats-packages (<https://github.com/easystats/easystats>) and someextra themes, geoms, and scales for 'ggplot2'. Color scales are basedon <https://www.materialui.co/colors>."
"104","directlabels","images/directlabels.png","http://tdhock.github.io/directlabels","tdhock","directlabels","visualization, direct-labels, positioning, general, plot-labelling","true","tdhock","Framework for adding direct labels to lattice or ggplot2 plots.","Modern plotting packages like lattice and ggplot2 show automatic legends based on the variable specified for color, but these legends can be oftenconfusing if there are too many colors. To help with this, the directlabelspackage provides direct variable-labelling on intuitively placed positionswhich are a useful, clear and more attractive alternative to those confusing legends observed in many common plots."
"105","ggHoriPlot","images/ggHoriPlot.png","https://github.com/rivasiker/ggHoriPlot","rivasiker","ggHoriPlot","visualization,general,horizon-plot,time-series","true","rivasiker","Horizon Plots for `ggplot2`","`ggHoriPlot` is a user-friendly, highly customizable R package for buildinghorizon plots in `ggplot2`, where both the origin of the horizon plot and the cutpoints of the different intervals can be user-speficied for greater flexibility. "
"106","ggtrace","images/ggtrace.png","https://rnabioco.github.io/ggtrace/","rnabioco","ggtrace","visualization","true","sheridar","Outline groups of data points using ggplot2",">    Provides 'ggplot2' geoms that allow groups of data points to be outlined orhighlighted for emphasis. This is particularly useful when working with densedatasets that are prone to overplotting."
"107","ggESDA","images/ggESDA.png","https://github.com/kiangkiangkiang/ggESDA","kiangkiangkiang","ggESDA","visualization,symbolic data,interval-valued data","true","kiangkiangkiang","Exploratory Symbolic Data Analysis with 'ggplot2'."," The 'ggESDA' package provides the advanced graphic techniques including the  multivariate visualization, exhibition with modal multi-valued and interval-valued, and classification by color mapping. Also, summarize the classical data into symbolic data by various customized method."
"108","geomtextpath","images/geomtextpath.png","https://allancameron.github.io/geomtextpath/","AllanCameron","geomtextpath","typography,plot-labelling,visualization","true","AllanCameron","Create curved text and directly label lines in `ggplot`","Directly labelling your plots with text that follows the curves of your data not only makes for a pretty plot. It can function as an alternative to a legend, freeing up valuable space, and makes plots easier for a general audience to understand. With support for bidirectional text,richtext, plotmath and even simple feature (sf) maps, `geomtextpath`aims to make annotating plots simple and accessible."
"109","ggdensity","images/ggdensity.png","https://jamesotto852.github.io/ggdensity","jamesotto852","ggdensity","visualization,density-estimation","true","jamesotto852","Interpretable bivariate density visualization with highest density regions","`ggdensity` provides `geom_hdr()` and `geom_hdr_lines()` as drop-inreplacements for `ggplot2` functions `geom_density_2d_filled()` and`geom_density_2d()`, facilitating the plotting of highest density regions (HDRs) in place of arbitrary density contours. A variety of statisticallyrigorous density estimators are available, as well as helper functions`geom_hdr_fun()` and `geom_hdr_lines_fun()` for plotting HDRs of (potentially un-normalized) user-specified bivariate probability density functions."
"110","ggtranscript","images/dzhang32-ggtranscript.png","https://dzhang32.github.io/ggtranscript/","dzhang32","ggtranscript","visualization,genetics,genomics,transcripts,annotation","false","dzhang32","Visualizing transcript structure and annotation using `ggplot2`","The goal of ggtranscript is the simplify the process of visualizing transcript structure and annotation. To achieve this, ggtranscript introduces 5 new geoms (geom_range(), geom_half_range(), geom_intron(), geom_junction() and geom_junction_label_repel()) as well as several helperfunctions. As a ggplot2 extension, ggtranscript inherits ggplot2's familiarity and flexibility, enabling users to intuitively adjust aesthetics, parameters, scales etc as well as complement ggtranscript geoms with existing ggplot2 geoms to create informative, publication-ready plots."
"111","piecepackr","images/piecepackr-piecepackr.png","https://trevorldavis.com/piecepackr","piecepackr","piecepackr","board games, geoms","true","trevorld","Board game graphics","  Functions to make board game graphics with the 'ggplot2', 'grid', 'rayrender', 'rayvertex', and 'rgl' packages.  Specializes in game diagrams, animations, and ""Print & Play"" layouts for the 'piecepack' <https://www.ludism.org/ppwiki> but can make graphics for other board game systems.  Includes configurations for several public domain game systems such as checkers, (double-18) dominoes, go, 'piecepack', playing cards, etc."
"112","oblicubes","images/trevorld-oblicubes.png","https://trevorldavis.com/R/oblicubes","trevorld","oblicubes","visualization, geoms","true","trevorld","3D Rendering Using Obliquely Projected Cubes and Cuboids","  Three-dimensional rendering for 'grid' and 'ggplot2' graphics using cubes and cuboids drawn with an oblique projection.  As a special case also supports primary view orthographic projections.  Can be viewed as an extension to the 'isocubes' package <https://github.com/coolbutuseless/isocubes>."
"113","ggDoubleHeat","images/ggdoubleheat.png","https://github.com/PursuitOfDataScience/ggDoubleHeat","PursuitOfDataScience","ggDoubleHeat","visualization, geoms","true","PursuitOfDataScience","A heatmap-like visualization tool","A data visualization design that provides comparison between two (Double) data sources (usually on a par with each other) on one reformed heatmap, while inheriting 'ggplot2' features.  "
"114","nflplotR","images/nflplotR.png","https://nflplotr.nflverse.com","nflverse","nflplotR","general,scales,geoms,images,theme,elements","true","mrcaseb","'nflplotR' provides a set of functions to visualize National Football League analysis in 'ggplot2'.","The goal of 'nflplotR' is to provide functions and geoms that help visualization of images and NFL related analysis. It provides 'ggplot2' geoms and theme elements that do the heavy lifting of plotting images in high quality, with correct aspect ratio and other image modification functions."
"115","ggbraid","images/ggbraid.png","https://nsgrantham.github.io/ggbraid","nsgrantham","ggbraid","visualization,general,geoms","false","nsgrantham","Braid ribbons in `ggplot2`.","ggbraid provides a new stat, `stat_braid()`, that extends the functionality of `geom_ribbon()` to correctlyfill the area between two alternating lines (or steps) with two different colors. ggbraid also providesa geom, `geom_braid()`, that wraps `geom_ribbon()` and uses `stat_braid()` by default."
"116","ggblanket","images/ggblanket.png","https://davidhodge931.github.io/ggblanket/articles/ggblanket.html","davidhodge931","ggblanket","visualization","true","davidhodge931","Simplify ggplot2 visualisation","Simplify ggplot2 visualisation with ggblanket wrapper functions.  "
"117","ggpie","images/ggpie.png","https://github.com/showteeth/ggpie","showteeth","ggpie","visualization,general,pie,donut,rose pie","true","showteeth","Create pie and donut plot using `ggplot2`.","`ggpie` aims to create **pie (2D and 3D)**, **donut** and **rose pie** plot with the `ggplot2` plotting system which implemented the grammar of graphics. It contains four main functions:1. `ggpie`"
"118","ggstar","images/ggstar.png","https://github.com/xiangpin/ggstar","xiangpin","ggstar","visualization, different shape points","true","xiangpin","Multiple Geometric Shape Point Layer for 'ggplot2'","To create the multiple polygonal point layer for easily discernible shapes,we developed the package, it is like the 'geom_point' of 'ggplot2'."
"119","ggarchery","images/ggarchery.png","https://github.com/mdhall272/ggarchery","mdhall272","ggarchery","visualization, arrows","true","mdhall272","Flexible segment geoms with arrows for 'ggplot2'","Enhanced arrow segments for control of the position of the arrowhead on the line, multiple arrowheads, and shrinkage of segments to prevent arrows colliding with their 'targets' without alterations to coordinates"
"120","tidyterra","images/tidyterra.png","https://github.com/dieghernan/tidyterra","dieghernan","tidyterra","visualization, raster, spatial","true","dieghernan","'ggplot2' geoms for  'terra' rasters and vectors","'geom_' functions that provide a convenient way of visualizing SpatRastersand SpatVectors generated with the 'terra' package."
"121","ggseqplot","images/ggseqplot.png","https://maraab23.github.io/ggseqplot","maraab23","ggseqplot","visualization,sequence analysis","true","maraab23","'ggseqplot' renders sequence plots using ggplot2.","'ggseqplot' provides a set of functions that reproduce some of the sequence plots from 'TraMineR::seqplot' and 'TraMineRextras' using 'ggplot2'. These plots are produced on the basis of a sequence object defined with 'TraMineR::seqdef'. The package automates the reshaping and plotting of sequence data. Resulting plots are of class ggplot, i.e. components can be added and tweaked using '+' and regular ggplot2 functions."
"122","ggsurvfit","images/ddsjoberg-ggsurvfit.png","http://www.danieldsjoberg.com/ggsurvfit/","ddsjoberg","ggsurvfit","visualization,survival,statistics","true","ddsjoberg","Flexible Time-to-Event Figures","Ease the creation of time-to-event (i.e. survival) endpointfigures. The modular functions create figures ready for publication.Each of the functions that add to or modify the figure are written asproper 'ggplot2' geoms or stat methods, allowing the functions fromthis package to be combined with any function or customization from'ggplot2' and other 'ggplot2' extension packages."
"123","ggsector","images/ggsector.png","https://github.com/yanpd01/ggsector","yanpd01","ggsector","visualization, geoms, sector, fan","true","yanpd01","Create sector plots using `ggplot2`.","`ggsector` provides a new geom, `geom_sector()`, a grid-based layerfunction that conforms to the `ggplot2` layer syntax.`ggsector` mainly provides two sector drawing modes, one is to draw sectorsbased on `draw_panel` when `individual = FALSE`, and the other is to drawsectors based on `draw_group` when `individual = TRUE`."
"124","ggterror","images/mivalek-ggterror.png","https://github.com/mivaek/ggterrorbar","mivalek","ggterrorbar","visualization, geoms","false","mivalek","Create T-errorbars like in THAT paper","`ggterror` provides a new geom, `geom_terrorbar()` that swaps errorbars for the letter Tjust like they did in the now retracted legendary paper from July 2022 special issue ofHindawi's journal Advances in Materials Science and Engineering."
"125","ggragged","images/mikmart-ggragged.png","https://mikmart.github.io/ggragged/","mikmart","ggragged","facets","true","mikmart","Facets for panel layouts with ragged edges","`ggragged` adds new facets to group panels in rows or columns of(potentially) varying widths, creating panel layouts with ragged edges."
"126","ggmapinset","images/ggmapinset.png","https://cidm-ph.github.io/ggmapinset/","cidm-ph","ggmapinset","visualization,spatial","true","arcresu","Add zoomed inset panels to your ggplot maps","Helper to add insets based on `geom_sf()` from 'ggplot2'. This package gives you adrop-in replacement for `geom_sf()` that supports adding a zoomed inset map withouthaving to create and embed a separate plot."
"127","ggmagnify","images/hughjonesd-ggmagnify.png","https://github.com/hughjonesd/ggmagnify","hughjonesd","ggmagnify","visualization,geoms,inset,zoom,magnification","false","hughjonesd","Create a magnified inset of part of a ggplot object. ","ggmagnify creates a magnified inset of part of a ggplot object. Borders can be drawn around the target area and the inset, along with projection lines from one to the other. The inset can have a drop shadow. The magnified area can be a rectangle, an ellipse or an arbitrary shape. Maps, faceting and non-standard scales are supported."
"128","ggblend","images/mjskay-ggblend.png","https://mjskay.github.io/ggblend/","mjskay","ggblend","visualization,blending,affine transformation,layer algebra,compositing","true","mjskay","Algebra of operations for blending, copying, adjusting, transforming, andcompositing ggplot2 layers.","ggblend is a small algebra for manipulating ggplot2 layers (e.g., statsand geoms). It supports copying and adjusting the aesthetics or parametersof an existing layer, partitioning a layer into multiple pieces forre-composition, applying affine transformations to layers, and combininglayers (or partitions of layers) using blend modes (including commutativeblend modes, like multiply and darken). Blend mode support is particularlyuseful for creating plots with overlapping groups where the layer drawingorder does not change the output."
"129","ggflowchart","images/nrennie-ggflowchart.png","https://nrennie.github.io/ggflowchart/","nrennie","ggflowchart","visualization,flowchart,network,diagram","true","nrennie","Create flowcharts using `ggplot2`.","Flowcharts can be a useful way to visualise complex processes. This package uses the layered grammar of graphics of 'ggplot2' to create simple flowcharts. It supports changing the outline and fill colour of nodes based on node attributes, custom node labels, ability to add arrow labels, and tree-based or user-specified layouts. It is compatible with 'ggplot2' functions, and those from existing 'ggplot2' extension packages, allowing extensive customisation."
"130","ggrain","images/ggrain.png","https://github.com/njudd/ggrain","njudd","ggrain","visualization, general","true","njudd","Raincloud geom for 'ggplot2'","Raincloud plots are a visualization tool which puts the raw data next to a box plot and a violin plot.This allows you to immediately visualize the full distribution of your data! Our package offers the function ‘geom_rain()’ to make rainclouds, it can make multiple groups and connect observations over time."
"131","ggoutlierscatterplot","images/ggoutlierscatterplot.png","https://github.com/lukastay/ggoutlierscatterplot","lukastay","ggoutlierscatterplot","visualization,outlier,outliers,scatterplot,algorithms,algorithm,regression","false","lukastay","Visualize multidimensional outlier detection algorithms","Displays scatterplots that visualize outliers.Works with five multidimensional outlier detection algorithms.Higher degrees of abnormality are shown in larger, more red, and less transparent dots."
"132","ggautothemes","images/ggautothemes.png","https://github.com/lukastay/ggautothemes/tree/master","lukastay","ggautothemes","visualization,theme,themeing,color,fill,hue,ggthemes","false","lukastay","Quickly see how different themes will look on your ggplot visual.","Takes in a ggplot visual.Outputs a ""slideshow"" (sleep functions are used to allow time to look upon graphs) that unfolds in your plot pane in RStudio.High quality TIFF raster images can be outputted for professional use."
"133","AMR","images/amr.png","https://msberends.github.io/AMR/","msberends","AMR","visualization,epidemiology,color,fill","true","msberends","Plotting AMR results for SIR categories, MIC values, and disk diffusion diameters","Specialized for visualizing antimicrobial resistance data, it offers intuitive, it offers intuitive, customizable plotsfor SIR categorizations, MIC distributions, and disk diffusion data, simplifying complex microbiological analyses."
"134","ichimoku","images/ichimoku.png","https://shikokuchuo.net/ichimoku/","shikokuchuo","ichimoku","visualization,time-series,finance,trading,candlestick","true","shikokuchuo","Visualization and Tools for Ichimoku Kinko Hyo Strategies","An implementation of ‘Ichimoku Kinko Hyo’, also commonly known as ‘cloud charts’.As described in Sasaki (1996, ISBN:4925152009), the technique is a refinementon candlestick charting, originating from Japan and now in widespread use intechnical analysis worldwide. Translating as ‘one-glance equilibrium chart’, itallows the price action and market structure of financial securities to bedetermined ‘at-a-glance’. "
"135","eheat","images/eheat.png","https://github.com/Yunuuuu/eheat","Yunuuuu","eheat","visualization,heatmap","false","Yunuuuu","Extended ComplexHeatmap with ggplot2","This package serves as a bridge between the ggplot2 and ComplexHeatmap packages. Essentially, all ggplot2 geometries and operations can be utilized in ComplexHeatmap through the eheat package, with the exception of facet operations (and you shouldn’t do it in eheat package). Fortunately, ComplexHeatmapis capable of handling these operations independently, rendering them unnecessary."
"136","ggstats","images/ggstat.png","https://larmarange.github.io/ggstats/","larmarange","ggstats","visualization,p-values,forest plot,geoms,positions,statistics,Likert","true","larmarange","Forest plots of model coefficients, Likert plots and custom proportions","This package provides new statistics, new geometries and new positions for 'ggplot2' and a suite of functions to facilitate the creation of statistical plots such asforest plots of model coefficients, bar plots for Likert-type items, customproportions or survey data."
"137","ggfoundry","images/cgoo4-ggfoundry.png","https://cgoo4.github.io/ggfoundry/","cgoo4","ggfoundry","visualization,geoms,color,fill,shapes","true","cgoo4","Shape Foundry & Geom for 'ggplot2'.","Hand-crafted colourable & fillable shapes."
"138","ggalign","images/ggalign.png","https://yunuuuu.github.io/ggalign/","Yunuuuu","ggalign","visualization,heatmap","true","Yunuuuu","A 'ggplot2' Extension for Consistent Axis Alignment","This package extends ggplot2 by providing advanced tools for aligning and organizing multiple plots, particularly those that automatically reorder observations, such as dendrogram. It offers fine control over layout adjustment and plot annotations, enabling you to create complex, publication-quality visualizations while still using the familiar grammar of ggplot2. "
"139","ggreveal","images/ggreveal.png","https://weverthon.com/ggreveal/","weverthonmachado","ggreveal","visualization,presentation,slides","true","weverthonmachado","Reveal a 'ggplot' Incrementally","Provides functions that make it easy to reveal 'ggplot2' graphsincrementally. The functions take a plot produced with 'ggplot2' andreturn a list of plots showing data incrementally by panels, layers,groups, the values in an axis or any arbitrary aesthetic."
"140","geofacet","images/geofacet_us_unemp.png","https://hafen.github.io/geofacet/","hafen","geofacet","visualization,facet,facets,geo,geography,composition","true","hafen","Easy faceting according to geographic position","This R package provides geofaceting functionality for ggplot2. Geofaceting arranges a sequence of plots of data for different geographical entities into a grid that strives to preserve some of the original geographical orientation of the entities."
"141","tidyplots","images/tidyplots.png","https://tidyplots.org","jbengler","tidyplots","visualization,general,theme,color,statistics","true","jbengler","Tidy plots for scientific papers","The goal of tidyplots is to streamline the creation of publication-ready plots for scientific papers. It allows to gradually add, remove and adjust plot components using a consistent and intuitive syntax."
"142","rphylopic","images/rphylopic.png","https://rphylopic.palaeoverse.org/","palaeoverse","rphylopic","visualization,silhouettes,images,biology","true","willgearty","Get and use silhouettes of organisms from PhyloPic","Work with the PhyloPic Web Service (<http://api-docs.phylopic.org/v2/>) to fetch silhouette images of organisms. Includes functions for adding silhouettes to both base R plots and ggplot2 plots."
"143","deeptime","images/deeptime.png","https://williamgearty.com/deeptime","willgearty","deeptime","visualization,earth sciences,phylogenetics,pattern,color,time-series","true","willgearty","Plotting tools for anyone working in deep time","The primary goal of deeptime is to enable users to add highly customizable timescales to their visualizations. Other functions are also included to assist with other areas of deep time visualization."
